date,asset,signal,fwdRet,regimeVol
2025-10-16,ADAUSDT,-0.6521233638,-0.0683057614,1.1284901273
2025-10-16,BNBUSDT,2.0666346176,-0.0791062525,0.9878148847
2025-10-16,BTCUSDT,0.3771121134,-0.0293469362,0.4326109546
2025-10-16,DOGEUSDT,-0.8911507737,-0.0326712124,1.2130850115
2025-10-16,ETHUSDT,-0.0567381470,-0.0465139205,0.7911047342
2025-10-16,SOLUSDT,-0.3577185562,-0.0716223989,0.9962332549
2025-10-16,XRPUSDT,-0.4860158902,-0.0201247942,0.7845685113
2025-10-17,ADAUSDT,-0.6982136895,-0.0029965700,1.1276958164
2025-10-17,BNBUSDT,2.0195034469,-0.0156233357,0.9847562107
2025-10-17,BTCUSDT,0.4320700214,0.0179454975,0.4369542775
2025-10-17,DOGEUSDT,-0.8998113556,0.0348073942,1.2164094770
2025-10-17,ETHUSDT,0.0730732160,-0.0092882113,0.7943748116
2025-10-17,SOLUSDT,-0.4239092532,0.0364629858,1.0050461794
2025-10-17,XRPUSDT,-0.5027123860,0.0290531624,0.7869914124
2025-10-18,ADAUSDT,-0.8327718514,0.0505552214,1.1165146915
2025-10-18,BNBUSDT,1.8295625313,0.0340657416,1.0101996884
2025-10-18,BTCUSDT,0.7089035414,0.0426946450,0.4393520065
2025-10-18,DOGEUSDT,-1.0308091686,0.0700676780,1.1980957121
2025-10-18,ETHUSDT,0.1769144820,0.0263230937,0.7900244518
2025-10-18,SOLUSDT,-0.4262581801,0.0624582771,0.9943709613
2025-10-18,XRPUSDT,-0.4255413545,0.0924879274,0.7823325943
2025-10-19,ADAUSDT,-0.9055966719,0.0313089458,1.1173435861
2025-10-19,BNBUSDT,1.8946023817,0.0219990638,1.0109825556
2025-10-19,BTCUSDT,0.5991202860,0.0412418356,0.4394820650
2025-10-19,DOGEUSDT,-0.9421113171,0.0366317233,1.2060710130
2025-10-19,ETHUSDT,0.1524103433,0.0164493043,0.7929509015
2025-10-19,SOLUSDT,-0.4299327122,0.0334818503,1.0012679519
2025-10-19,XRPUSDT,-0.3684923098,0.0996808053,0.7928365110
2025-10-20,ADAUSDT,-0.8939480472,0.0437302824,1.1222155981
2025-10-20,BNBUSDT,1.9036313612,0.0251872514,1.0118804079
2025-10-20,BTCUSDT,0.5700405844,0.0530457839,0.4415340575
2025-10-20,DOGEUSDT,-0.8734542945,0.0538339004,1.2071942745
2025-10-20,ETHUSDT,0.2259334639,0.0442481202,0.7951862507
2025-10-20,SOLUSDT,-0.5086964109,0.0651231838,0.9966778254
2025-10-20,XRPUSDT,-0.4235066569,0.1067359167,0.7931765688
2025-10-21,ADAUSDT,-1.0192201075,0.0055692490,1.1250160064
2025-10-21,BNBUSDT,1.6973443755,0.0337700580,0.9935701855
2025-10-21,BTCUSDT,0.8286946946,0.0321114625,0.4465502550
2025-10-21,DOGEUSDT,-0.9753716111,0.0017076124,1.2114681591
2025-10-21,ETHUSDT,0.2473549135,0.0344751939,0.7949451123
2025-10-21,SOLUSDT,-0.5864757754,0.0477231909,0.9978211677
2025-10-21,XRPUSDT,-0.1923264895,0.0558506877,0.8122308845
2025-10-22,ADAUSDT,-1.1084747421,0.0052451390,1.1275711731
2025-10-22,BNBUSDT,1.6081896976,0.0434499365,1.0043813153
2025-10-22,BTCUSDT,0.9466566567,0.0424009512,0.4513382167
2025-10-22,DOGEUSDT,-0.9283185885,-0.0038163294,1.2119403419
2025-10-22,ETHUSDT,0.2711163048,0.0291401461,0.7996686047
2025-10-22,SOLUSDT,-0.5398038952,0.0461665502,0.9987779287
2025-10-22,XRPUSDT,-0.2493654332,0.0747282615,0.8160419759
2025-10-23,ADAUSDT,-1.0661224701,0.0267222095,1.1106441698
2025-10-23,BNBUSDT,1.8045260708,0.0330822497,0.9855984744
2025-10-23,BTCUSDT,0.7011414443,0.0226284419,0.4456554661
2025-10-23,DOGEUSDT,-0.7783116208,0.0127341834,1.1880727036
2025-10-23,ETHUSDT,0.2686133999,0.0254658674,0.7788025213
2025-10-23,SOLUSDT,-0.5161069921,0.0776520319,0.9772716886
2025-10-23,XRPUSDT,-0.4137398319,0.0788509869,0.8096572985
2025-10-24,ADAUSDT,-1.0580186319,-0.0655224192,1.1182619158
2025-10-24,BNBUSDT,1.8301248698,-0.0441121175,0.9970766819
2025-10-24,BTCUSDT,0.6650158564,-0.0154385254,0.4534833808
2025-10-24,DOGEUSDT,-0.8339643101,-0.0629344551,1.1933349395
2025-10-24,ETHUSDT,0.1372801815,-0.0145268169,0.7806949232
2025-10-24,SOLUSDT,-0.1460238255,-0.0361111307,1.0008619927
2025-10-24,XRPUSDT,-0.5944141401,0.0186547924,0.8123288332
2025-10-25,ADAUSDT,-1.0946963943,-0.0721227314,1.1213235499
2025-10-25,BNBUSDT,1.7308296177,-0.0189089852,0.9996062095
2025-10-25,BTCUSDT,0.6379017725,-0.0131817918,0.4524971763
2025-10-25,DOGEUSDT,-0.9682546538,-0.0574581477,1.1929578754
2025-10-25,ETHUSDT,0.3153817430,-0.0226114981,0.7846830190
2025-10-25,SOLUSDT,-0.0198525775,-0.0328466394,1.0018873143
2025-10-25,XRPUSDT,-0.6013095078,0.0000536704,0.8201098571
2025-10-26,ADAUSDT,-1.2439285859,-0.0628167523,1.1085439777
2025-10-26,BNBUSDT,1.7637484739,-0.0199938387,0.9667862164
2025-10-26,BTCUSDT,0.3577304736,-0.0140165957,0.4337497357
2025-10-26,DOGEUSDT,-0.9807183883,-0.0467222387,1.1677072420
2025-10-26,ETHUSDT,0.2918445670,-0.0205053062,0.7522159021
2025-10-26,SOLUSDT,0.1786824939,-0.0392626963,0.9514457019
2025-10-26,XRPUSDT,-0.3673590342,-0.0348977671,0.8037468269
2025-10-27,ADAUSDT,-1.1863276664,-0.1036835446,1.1143885629
2025-10-27,BNBUSDT,1.7757235785,-0.0479330291,0.9678935305
2025-10-27,BTCUSDT,0.4808949805,-0.0342573499,0.4416384283
2025-10-27,DOGEUSDT,-0.9580337029,-0.0935790660,1.1721273585
2025-10-27,ETHUSDT,0.3784070572,-0.0608922868,0.7637893540
2025-10-27,SOLUSDT,-0.1296249928,-0.0617401692,0.9358048370
2025-10-27,XRPUSDT,-0.3610392541,-0.0449291969,0.8058093203
2025-10-28,ADAUSDT,-1.1612625301,-0.1730822026,1.1155266018
2025-10-28,BNBUSDT,1.7373905588,-0.1278965142,0.9680266216
2025-10-28,BTCUSDT,0.5211160039,-0.0669115356,0.4418787309
2025-10-28,DOGEUSDT,-1.0288900999,-0.1659827680,1.1746825280
2025-10-28,ETHUSDT,0.3797627462,-0.1255494940,0.7646701275
2025-10-28,SOLUSDT,-0.0535552128,-0.1654331543,0.9358146459
2025-10-28,XRPUSDT,-0.3945614661,-0.1235525025,0.8049340553
2025-10-29,ADAUSDT,-1.2314734251,-0.1928553379,1.1101547503
2025-10-29,BNBUSDT,1.6537637850,-0.1505990806,0.9734906248
2025-10-29,BTCUSDT,0.6877866755,-0.1010957216,0.4368798668
2025-10-29,DOGEUSDT,-1.0721322297,-0.1607907301,1.1733191080
2025-10-29,ETHUSDT,0.2686091391,-0.1743184069,0.7667907351
2025-10-29,SOLUSDT,-0.0946169873,-0.2012396907,0.9298355978
2025-10-29,XRPUSDT,-0.2119369574,-0.1518992635,0.8012746379
2025-10-30,ADAUSDT,-1.2422575393,-0.1475479138,1.1100749707
2025-10-30,BNBUSDT,1.7547225696,-0.1348853915,0.9658083230
2025-10-30,BTCUSDT,0.5577585391,-0.0558699682,0.4405337390
2025-10-30,DOGEUSDT,-0.9830856030,-0.1307812974,1.1732912803
2025-10-30,ETHUSDT,0.1683957257,-0.1221768739,0.7660249567
2025-10-30,SOLUSDT,0.0122102320,-0.1628628829,0.9286809129
2025-10-30,XRPUSDT,-0.2677439241,-0.0814014930,0.8030334752
2025-10-31,ADAUSDT,-1.3172651737,-0.1154582634,1.1258023822
2025-10-31,BNBUSDT,1.6893244050,-0.1189593927,0.9676990531
2025-10-31,BTCUSDT,0.5938878989,-0.0659328041,0.4430530618
2025-10-31,DOGEUSDT,-0.9512686130,-0.1160265226,1.1838614541
2025-10-31,ETHUSDT,0.2821318582,-0.1286583115,0.7691150401
2025-10-31,SOLUSDT,-0.0264746304,-0.1595705943,0.9418798385
2025-10-31,XRPUSDT,-0.2703357449,-0.0939094632,0.8149332920
2025-11-01,ADAUSDT,-1.2721324437,-0.0506644703,1.1069058471
2025-11-01,BNBUSDT,1.7462272967,-0.0884280957,0.9662775413
2025-11-01,BTCUSDT,0.5378120963,-0.0581824221,0.4174078405
2025-11-01,DOGEUSDT,-0.9862343514,-0.0394902785,1.1579864392
2025-11-01,ETHUSDT,0.2046757921,-0.1093220464,0.7484487830
2025-11-01,SOLUSDT,-0.1471652636,-0.1361130957,0.9154303333
2025-11-01,XRPUSDT,-0.0831831264,-0.0758154074,0.8107418831
2025-11-02,ADAUSDT,-1.1895274682,-0.0733307094,1.1019187434
2025-11-02,BNBUSDT,1.6114858972,-0.0963685797,0.9434876946
2025-11-02,BTCUSDT,0.7709550195,-0.0706853154,0.4143188423
2025-11-02,DOGEUSDT,-1.0828639768,-0.0615614300,1.1393606606
2025-11-02,ETHUSDT,0.3057854356,-0.1221976027,0.7398081415
2025-11-02,SOLUSDT,-0.3514575241,-0.1530843675,0.8875553802
2025-11-02,XRPUSDT,-0.0643773831,-0.0878357842,0.8006547556
2025-11-03,ADAUSDT,-1.4029885913,-0.0528669091,1.1019548945
2025-11-03,BNBUSDT,1.1131696096,-0.0806735596,0.8930303136
2025-11-03,BTCUSDT,1.0065609991,-0.0532970073,0.4102209225
2025-11-03,DOGEUSDT,-1.1989604186,-0.0403492069,1.1395792728
2025-11-03,ETHUSDT,0.5415820323,-0.0836138156,0.7401600099
2025-11-03,SOLUSDT,-0.1825415300,-0.1239473261,0.8890861696
2025-11-03,XRPUSDT,0.1231778989,-0.0657371675,0.8020067970
2025-11-04,ADAUSDT,-1.2645750105,0.0739454705,1.1443273570
2025-11-04,BNBUSDT,1.1155347532,-0.0007547490,0.9360090817
2025-11-04,BTCUSDT,1.1970132144,-0.0046989433,0.4265060865
2025-11-04,DOGEUSDT,-1.1552670322,0.0879674502,1.1891051150
2025-11-04,ETHUSDT,0.4178130203,-0.0095306762,0.7867961567
2025-11-04,SOLUSDT,-0.4435050090,0.0090103311,0.9763707575
2025-11-04,XRPUSDT,0.1329860637,0.0941219696,0.8522576845
2025-11-05,ADAUSDT,-1.2762253314,0.0656567148,1.1529782912
2025-11-05,BNBUSDT,1.0805181859,0.0220482032,0.9509123431
2025-11-05,BTCUSDT,1.3327724941,0.0160763810,0.4492185245
2025-11-05,DOGEUSDT,-1.0144360697,0.0591670008,1.1877557461
2025-11-05,ETHUSDT,0.1013304920,0.0398266168,0.8380724296
2025-11-05,SOLUSDT,-0.5380194580,-0.0034905177,0.9943473171
2025-11-05,XRPUSDT,0.3140596872,0.0821337668,0.8606411675
2025-11-06,ADAUSDT,-1.2610945615,-0.0014157004,1.1539533201
2025-11-06,BNBUSDT,0.6989114459,-0.0049849240,0.9355387563
2025-11-06,BTCUSDT,1.3361849535,-0.0216140001,0.4577088129
2025-11-06,DOGEUSDT,-1.2245599534,0.0169623444,1.1724727011
2025-11-06,ETHUSDT,0.0632728180,-0.0039190564,0.8406369451
2025-11-06,SOLUSDT,-0.3341961468,-0.0566717761,1.0098540459
2025-11-06,XRPUSDT,0.7214814442,0.0184632827,0.8916260811
2025-11-07,ADAUSDT,-1.1836198638,-0.0033910028,1.1415306016
2025-11-07,BNBUSDT,0.0111665022,-0.0263242362,0.8991055613
2025-11-07,BTCUSDT,1.6298713072,-0.0175914426,0.4571032962
2025-11-07,DOGEUSDT,-1.1081792169,0.0140672905,1.1544225178
2025-11-07,ETHUSDT,0.2670270998,-0.0269512053,0.8317237232
2025-11-07,SOLUSDT,-0.3417283805,-0.0674310523,1.0062944656
2025-11-07,XRPUSDT,0.7254625520,0.0492167434,0.8989901938
2025-11-08,ADAUSDT,-1.0938959835,-0.1384007814,1.1858883536
2025-11-08,BNBUSDT,0.1391244156,-0.0761151179,0.9177653903
2025-11-08,BTCUSDT,1.5432925482,-0.0815873480,0.4593409698
2025-11-08,DOGEUSDT,-0.8926032783,-0.1192870830,1.2149055564
2025-11-08,ETHUSDT,0.1206516517,-0.0897988515,0.8409348843
2025-11-08,SOLUSDT,-0.7954608854,-0.1404209929,1.0083450916
2025-11-08,XRPUSDT,0.9788915318,-0.0321831541,0.9185511382
2025-11-09,ADAUSDT,-1.1617766454,-0.1139116010,1.1846453446
2025-11-09,BNBUSDT,0.4377473212,-0.0572976194,0.9109324774
2025-11-09,BTCUSDT,1.3654157137,-0.0675227925,0.4587115197
2025-11-09,DOGEUSDT,-0.9753612404,-0.0735174225,1.2137441559
2025-11-09,ETHUSDT,0.2727033190,-0.0676438976,0.8356170932
2025-11-09,SOLUSDT,-0.8544400748,-0.1174287792,1.0055655818
2025-11-09,XRPUSDT,0.9157116067,-0.0239101966,0.9163137490
2025-11-10,ADAUSDT,-0.3479508018,-0.1625598322,0.8245156575
2025-11-10,BNBUSDT,-0.5444182693,-0.0703786350,0.8018413488
2025-11-10,BTCUSDT,0.0704276878,-0.0996265087,0.3976541083
2025-11-10,DOGEUSDT,0.0290126514,-0.1144923890,0.8618870503
2025-11-10,ETHUSDT,0.2321496068,-0.1360503371,0.7402073410
2025-11-10,SOLUSDT,-1.3575370446,-0.1658759062,0.8720522794
2025-11-10,XRPUSDT,1.9183161697,-0.0617747949,0.7175096873
2025-11-11,ADAUSDT,-0.3563611133,-0.2139960503,0.8298084219
2025-11-11,BNBUSDT,-1.5067220425,-0.0865838812,0.7932895292
2025-11-11,BTCUSDT,0.0067970620,-0.1307308721,0.3951740126
2025-11-11,DOGEUSDT,0.4288745566,-0.1648948340,0.8507968172
2025-11-11,ETHUSDT,-0.0982110240,-0.1513808365,0.7357866267
2025-11-11,SOLUSDT,-0.2967660769,-0.2185186757,0.8527667594
2025-11-11,XRPUSDT,1.8223886382,-0.1443008415,0.7553830594
2025-11-12,ADAUSDT,-0.5069859169,-0.1453210117,0.7664822921
2025-11-12,BNBUSDT,-1.3345531299,-0.0282325454,0.6148805333
2025-11-12,BTCUSDT,0.9417667065,-0.0990089338,0.3768458457
2025-11-12,DOGEUSDT,0.0011710832,-0.0608065283,0.7661573056
2025-11-12,ETHUSDT,-0.0938786864,-0.0862270184,0.6461186509
2025-11-12,SOLUSDT,-0.6381510313,-0.0907526787,0.8063644405
2025-11-12,XRPUSDT,1.6306309749,-0.0729885130,0.7513348682
2025-11-13,ADAUSDT,-0.7706428641,-0.1506445097,0.7465515544
2025-11-13,BNBUSDT,-0.9062911305,-0.0598575272,0.6150889726
2025-11-13,BTCUSDT,1.1128506534,-0.1006097146,0.3782131162
2025-11-13,DOGEUSDT,-0.1028232252,-0.0928273415,0.7542771016
2025-11-13,ETHUSDT,0.0276517912,-0.1147553077,0.6381170984
2025-11-13,SOLUSDT,-0.9315018654,-0.1079306779,0.7723204830
2025-11-13,XRPUSDT,1.5707566405,-0.1173271779,0.7423524190
2025-11-14,ADAUSDT,-0.6175110597,-0.1835932047,0.7400935509
2025-11-14,BNBUSDT,-0.5295899735,-0.0635631595,0.5848262860
2025-11-14,BTCUSDT,1.0328075729,-0.1292902677,0.3795319115
2025-11-14,DOGEUSDT,-0.0338591695,-0.0895980818,0.7497323165
2025-11-14,ETHUSDT,-0.2977278596,-0.1211987828,0.6575867727
2025-11-14,SOLUSDT,-1.2057532216,-0.0760091954,0.7876613926
2025-11-14,XRPUSDT,1.6516337109,-0.1378396967,0.7361323961
2025-11-15,ADAUSDT,-0.8108061805,-0.1790015444,0.7525510608
2025-11-15,BNBUSDT,-0.2203699208,-0.0937464868,0.5748638757
2025-11-15,BTCUSDT,0.7373064561,-0.1021883997,0.4065066466
2025-11-15,DOGEUSDT,0.0058380380,-0.1108595524,0.7482962915
2025-11-15,ETHUSDT,-0.2964855877,-0.1137702639,0.6574722034
2025-11-15,SOLUSDT,-1.2063476990,-0.0749224865,0.7858284980
2025-11-15,XRPUSDT,1.7908648939,-0.1311027996,0.7334916925
2025-11-16,ADAUSDT,-0.8356175108,-0.1971874630,0.7495162732
2025-11-16,BNBUSDT,-0.3512678526,-0.1062152178,0.5808896643
2025-11-16,BTCUSDT,0.6311760549,-0.1122311865,0.4023642412
2025-11-16,DOGEUSDT,0.3838575616,-0.1388555796,0.7501612160
2025-11-16,ETHUSDT,-0.3498648541,-0.1266820067,0.6600171560
2025-11-16,SOLUSDT,-1.2180137206,-0.0841116758,0.7748423667
2025-11-16,XRPUSDT,1.7397303216,-0.1258874060,0.7236332344
2025-11-17,ADAUSDT,-0.9473285701,-0.1563225379,0.7525864301
2025-11-17,BNBUSDT,0.2814420020,-0.0899639549,0.5400051374
2025-11-17,BTCUSDT,0.5679458994,-0.0790773461,0.4013882245
2025-11-17,DOGEUSDT,0.1938453674,-0.0850871986,0.7527065660
2025-11-17,ETHUSDT,-0.5174472044,-0.0947609775,0.6624053535
2025-11-17,SOLUSDT,-1.2566448021,-0.0478207815,0.7749762324
2025-11-17,XRPUSDT,1.6781873080,-0.0760455507,0.7226183171
2025-11-18,ADAUSDT,-0.9154942530,-0.0814201865,0.7550583321
2025-11-18,BNBUSDT,0.3652887734,-0.0458133059,0.5359791914
2025-11-18,BTCUSDT,0.7674631519,-0.0417405576,0.4043391464
2025-11-18,DOGEUSDT,-0.0127121895,-0.0005986746,0.7553219230
2025-11-18,ETHUSDT,-0.3236566571,-0.0244144150,0.6595770081
2025-11-18,SOLUSDT,-1.4114008582,0.0576928364,0.7724781578
2025-11-18,XRPUSDT,1.5305120324,0.0299776463,0.7193348302
2025-11-19,ADAUSDT,-1.2904330346,-0.1122632271,0.7500117519
